"Index","AVID.Close"
2011-11-25,6.71
2011-11-28,7.05
2011-11-29,7.23
2011-11-30,7.96
2011-12-01,7.59
2011-12-02,7.6
2011-12-05,7.73
2011-12-06,7.59
2011-12-07,7.69
2011-12-08,7.39
2011-12-09,7.69
2011-12-12,7.56
2011-12-13,7.45
2011-12-14,7.25
2011-12-15,7.49
2011-12-16,7.81
2011-12-19,8.04
2011-12-20,8.44
2011-12-21,8.75
2011-12-22,8.8
2011-12-23,8.81
2011-12-27,8.97
2011-12-28,8.59
2011-12-29,8.63
2011-12-30,8.53
2012-01-03,8.65
2012-01-04,8.62
2012-01-05,8.61
2012-01-06,8.91
2012-01-09,9.05
2012-01-10,9.56
2012-01-11,9.52
2012-01-12,9.47
2012-01-13,9.05
2012-01-17,8.9
2012-01-18,9.41
2012-01-19,9.58
2012-01-20,9.79
2012-01-23,9.8
2012-01-24,9.64
2012-01-25,9.75
2012-01-26,9.7
2012-01-27,10
2012-01-30,9.9
2012-01-31,9.69
2012-02-01,9.86
2012-02-02,10.15
2012-02-03,10.45
2012-02-06,10.71
2012-02-07,9.98
2012-02-08,11.89
2012-02-09,11.82
2012-02-10,11.27
2012-02-13,11.86
2012-02-14,12
2012-02-15,11.72
2012-02-16,12.01
2012-02-17,11.81
2012-02-21,11.74
2012-02-22,11.64
2012-02-23,11.77
2012-02-24,11.71
2012-02-27,11.43
2012-02-28,11.14
2012-02-29,10.65
2012-03-01,10.8
2012-03-02,10.45
2012-03-05,10.52
2012-03-06,10.3
2012-03-07,10.54
2012-03-08,10.8
2012-03-09,10.96
2012-03-12,10.58
2012-03-13,10.97
2012-03-14,10.66
2012-03-15,10.71
2012-03-16,10.72
2012-03-19,11.13
2012-03-20,11.12
2012-03-21,11.2
2012-03-22,10.89
2012-03-23,11.05
2012-03-26,11.62
2012-03-27,11.22
2012-03-28,11.15
2012-03-29,10.98
2012-03-30,11
2012-04-02,11.03
2012-04-03,10.78
2012-04-04,10.36
2012-04-05,10.3
2012-04-09,10.2
2012-04-10,10.18
2012-04-11,10.28
2012-04-12,8.5
2012-04-13,8.62
2012-04-16,8.26
2012-04-17,8.47
2012-04-18,8.27
2012-04-19,8.26
2012-04-20,8.31
2012-04-23,8.19
2012-04-24,8.31
2012-04-25,8.41
2012-04-26,8.41
2012-04-27,8.95
2012-04-30,8.69
2012-05-01,8.35
2012-05-02,8.18
2012-05-03,8.08
2012-05-04,7.86
2012-05-07,7.93
2012-05-08,7.94
2012-05-09,7.79
2012-05-10,7.55
2012-05-11,7.36
2012-05-14,7.16
2012-05-15,7.22
2012-05-16,7.05
2012-05-17,7.09
2012-05-18,7.05
2012-05-21,7.29
2012-05-22,7.05
2012-05-23,7.06
2012-05-24,6.79
2012-05-25,6.68
2012-05-29,6.91
2012-05-30,7.09
2012-05-31,7.14
2012-06-01,7.2
2012-06-04,7.4
2012-06-05,7.4
2012-06-06,7.4
2012-06-07,7.15
2012-06-08,7.06
2012-06-11,6.91
2012-06-12,6.88
2012-06-13,6.71
2012-06-14,6.75
2012-06-15,6.79
2012-06-18,6.77
2012-06-19,6.89
2012-06-20,7.04
2012-06-21,7.07
2012-06-22,7.4
2012-06-25,7.17
2012-06-26,6.89
2012-06-27,7.04
2012-06-28,7.05
2012-06-29,7.43
2012-07-02,7.84
2012-07-03,8.19
2012-07-05,8.25
2012-07-06,8.19
2012-07-09,8.21
2012-07-10,8.16
2012-07-11,8.12
2012-07-12,7.94
2012-07-13,7.7
2012-07-16,7.26
2012-07-17,7.03
2012-07-18,7.43
2012-07-19,7.68
2012-07-20,7.43
2012-07-23,7.25
2012-07-24,7
2012-07-25,7.29
2012-07-26,7.35
2012-07-27,7.85
2012-07-30,7.57
2012-07-31,9.21
