"Index","ACGL.Close"
2010-04-22,25.24
2010-04-23,25.33
2010-04-26,25.36
2010-04-27,24.68
2010-04-28,25.26
2010-04-29,25.36
2010-04-30,25.19
2010-05-03,25.14
2010-05-04,24.82
2010-05-05,25.01
2010-05-06,24.47
2010-05-07,24.33
2010-05-10,24.82
2010-05-11,25.06
2010-05-12,25.47
2010-05-13,25.48
2010-05-14,25.04
2010-05-17,25.21
2010-05-18,24.92
2010-05-19,25
2010-05-20,24.13
2010-05-21,24.06
2010-05-24,23.92
2010-05-25,24.12
2010-05-26,24.15
2010-05-27,24.69
2010-05-28,24.51
2010-06-01,24
2010-06-02,24.38
2010-06-03,24.33
2010-06-04,23.93
2010-06-07,23.79
2010-06-08,23.99
2010-06-09,23.9
2010-06-10,24.51
2010-06-11,24.65
2010-06-14,24.7
2010-06-15,25.44
2010-06-16,25.45
2010-06-17,25.9
2010-06-18,25.98
2010-06-21,25.72
2010-06-22,25.62
2010-06-23,25.5
2010-06-24,25.4
2010-06-25,25.59
2010-06-28,25.47
2010-06-29,25.04
2010-06-30,24.83
2010-07-01,24.82
2010-07-02,25.04
2010-07-06,24.78
2010-07-07,25.35
2010-07-08,25.44
2010-07-09,25.86
2010-07-12,25.51
2010-07-13,25.94
2010-07-14,26
2010-07-15,25.75
2010-07-16,25.11
2010-07-19,25.16
2010-07-20,25.5
2010-07-21,25.42
2010-07-22,25.88
2010-07-23,26.02
2010-07-26,26.67
2010-07-27,25.88
2010-07-28,25.71
2010-07-29,25.98
2010-07-30,26.09
2010-08-02,26.18
2010-08-03,26.05
2010-08-04,26.38
2010-08-05,26.15
2010-08-06,26.16
2010-08-09,26.44
2010-08-10,26.41
2010-08-11,25.82
2010-08-12,25.83
2010-08-13,25.69
2010-08-16,25.79
2010-08-17,26.11
2010-08-18,26.23
2010-08-19,25.88
2010-08-20,26.04
2010-08-23,26.16
2010-08-24,25.92
2010-08-25,26.4
2010-08-26,26.25
2010-08-27,26.6
2010-08-30,26.49
2010-08-31,26.6
2010-09-01,27.22
2010-09-02,26.96
2010-09-03,27.11
2010-09-07,26.76
2010-09-08,27.01
2010-09-09,27.08
2010-09-10,26.92
2010-09-13,27.07
2010-09-14,27.09
2010-09-15,27.49
2010-09-16,27.49
2010-09-17,27.47
2010-09-20,27.54
2010-09-21,27.59
2010-09-22,27.32
2010-09-23,27
2010-09-24,27.35
2010-09-27,27.38
2010-09-28,27.57
2010-09-29,27.59
2010-09-30,27.93
2010-10-01,27.73
2010-10-04,27.7
2010-10-05,27.92
2010-10-06,27.82
2010-10-07,27.63
2010-10-08,27.69
2010-10-11,27.66
2010-10-12,27.67
2010-10-13,28.15
2010-10-14,28.14
2010-10-15,28.12
2010-10-18,28.27
2010-10-19,28.14
2010-10-20,28.38
2010-10-21,28.61
2010-10-22,28.64
2010-10-25,28.86
2010-10-26,28.83
