"Index","TSRX.Close"
2013-04-22,6.54
2013-04-23,7.05
2013-04-24,7.01
2013-04-25,7.02
2013-04-26,7.01
2013-04-29,6.98
2013-04-30,6.97
2013-05-01,6.39
2013-05-02,6.46
2013-05-03,6.5
2013-05-06,6.75
2013-05-07,6.58
2013-05-08,6.72
2013-05-09,6.61
2013-05-10,7.5
2013-05-13,7.53
2013-05-14,8.15
2013-05-15,8.33
2013-05-16,7.88
2013-05-17,7.98
2013-05-20,7.88
2013-05-21,7.77
2013-05-22,7.6
2013-05-23,7.9
2013-05-24,7.95
2013-05-28,7.84
2013-05-29,7.49
2013-05-30,7.67
2013-05-31,7.67
2013-06-03,7.68
2013-06-04,7.7
2013-06-05,7.83
2013-06-06,8.1
2013-06-07,8.32
2013-06-10,8.91
2013-06-11,8.74
2013-06-12,8.73
2013-06-13,8.7
2013-06-14,8.62
2013-06-17,8.6
2013-06-18,8.63
2013-06-19,8.55
2013-06-20,8.05
2013-06-21,8.02
2013-06-24,7.98
2013-06-25,7.88
2013-06-26,7.85
2013-06-27,7.73
2013-06-28,8.1
2013-07-01,8.27
2013-07-02,8.28
2013-07-03,8.19
2013-07-05,8.28
2013-07-08,8.49
2013-07-09,8.54
2013-07-10,8.98
2013-07-11,9.84
2013-07-12,9.89
2013-07-15,10.74
2013-07-16,10.68
2013-07-17,11.12
2013-07-18,11.6
2013-07-19,11.48
2013-07-22,12.16
2013-07-23,11.47
2013-07-24,11.44
2013-07-25,11.72
2013-07-26,11.75
2013-07-29,11.45
2013-07-30,11.71
2013-07-31,14.1
2013-08-01,13.82
2013-08-02,13.83
2013-08-05,13.76
2013-08-06,13.72
2013-08-07,13.82
2013-08-08,13.76
2013-08-09,13.72
2013-08-12,13.7
2013-08-13,13.73
2013-08-14,13.68
2013-08-15,13.66
2013-08-16,13.72
2013-08-19,13.75
2013-08-20,13.72
2013-08-21,13.71
2013-08-22,13.71
2013-08-23,13.69
2013-08-26,13.68
2013-08-27,13.66
2013-08-28,13.68
2013-08-29,13.69
2013-08-30,13.67
2013-09-03,13.69
2013-09-04,13.7
2013-09-05,13.68
2013-09-06,13.81
2013-09-09,13.71
2013-09-10,13.68
2013-09-11,13.63
