"Index","ASFI.Close"
2011-12-14,7.59
2011-12-15,7.5
2011-12-16,7.93
2011-12-19,8
2011-12-20,8.27
2011-12-21,8.58
2011-12-22,8.36
2011-12-23,8.22
2011-12-27,8.09
2011-12-28,8.08
2011-12-29,8.08
2011-12-30,7.98
2012-01-03,8.1
2012-01-04,8.05
2012-01-05,7.86
2012-01-06,7.72
2012-01-09,7.73
2012-01-10,7.72
2012-01-11,7.59
2012-01-12,7.69
2012-01-13,7.69
2012-01-17,7.63
2012-01-18,7.64
2012-01-19,7.68
2012-01-20,7.52
2012-01-23,7.33
2012-01-24,7.43
2012-01-25,7.36
2012-01-26,7.63
2012-01-27,7.49
2012-01-30,7.47
2012-01-31,7.49
2012-02-01,7.4
2012-02-02,7.48
2012-02-03,7.43
2012-02-06,7.43
2012-02-07,7.35
2012-02-08,7.56
2012-02-09,7.55
2012-02-10,7.77
2012-02-13,7.54
2012-02-14,7.58
2012-02-15,7.64
2012-02-16,7.64
2012-02-17,7.64
2012-02-21,7.61
2012-02-22,7.64
2012-02-23,7.6
2012-02-24,7.65
2012-02-27,7.61
2012-02-28,7.84
2012-02-29,7.88
2012-03-01,7.77
2012-03-02,7.88
2012-03-05,7.87
2012-03-06,7.88
2012-03-07,7.9
2012-03-08,7.83
2012-03-09,7.91
2012-03-12,7.94
2012-03-13,8.08
2012-03-14,8.09
2012-03-15,8.07
2012-03-16,8.03
2012-03-19,8.02
2012-03-20,8.05
2012-03-21,8.05
2012-03-22,8.02
2012-03-23,7.91
2012-03-26,7.89
2012-03-27,8.2
2012-03-28,8.24
2012-03-29,8.21
2012-03-30,8.17
2012-04-02,8.17
2012-04-03,8
2012-04-04,8.09
2012-04-05,8
2012-04-09,8.05
2012-04-10,7.94
2012-04-11,7.95
2012-04-12,8.06
2012-04-13,7.95
2012-04-16,7.89
2012-04-17,7.96
2012-04-18,8
2012-04-19,8.09
2012-04-20,8.08
2012-04-23,8.08
2012-04-24,8.03
2012-04-25,8.05
2012-04-26,8.09
2012-04-27,8.2
2012-04-30,8.48
2012-05-01,8.41
2012-05-02,8.52
2012-05-03,8.59
2012-05-04,8.63
2012-05-07,8.63
2012-05-08,9.02
2012-05-09,8.73
2012-05-10,8.98
2012-05-11,8.94
2012-05-14,8.92
2012-05-15,8.88
2012-05-16,8.8
