"Index","ATMI.Close"
2010-08-16,13.4
2010-08-17,13.72
2010-08-18,13.66
2010-08-19,13.16
2010-08-20,13.01
2010-08-23,12.82
2010-08-24,12.49
2010-08-25,12.72
2010-08-26,12.32
2010-08-27,12.5
2010-08-30,12.46
2010-08-31,12.78
2010-09-01,13.26
2010-09-02,13.38
2010-09-03,13.73
2010-09-07,13.56
2010-09-08,13.6
2010-09-09,13.97
2010-09-10,14.02
2010-09-13,14.22
2010-09-14,14.15
2010-09-15,14.26
2010-09-16,14.25
2010-09-17,14.43
2010-09-20,14.84
2010-09-21,14.79
2010-09-22,14.39
2010-09-23,14.22
2010-09-24,14.96
2010-09-27,14.8
2010-09-28,14.89
2010-09-29,15.25
2010-09-30,14.86
2010-10-01,14.99
2010-10-04,14.69
2010-10-05,15.46
2010-10-06,15.07
2010-10-07,15.11
2010-10-08,15.01
2010-10-11,15.11
2010-10-12,15.48
2010-10-13,15.53
2010-10-14,15.79
2010-10-15,15.68
2010-10-18,15.84
2010-10-19,15.75
2010-10-20,16.45
2010-10-21,16.63
2010-10-22,16.97
2010-10-25,17.17
2010-10-26,17.21
2010-10-27,17.64
2010-10-28,17.43
2010-10-29,17.67
2010-11-01,17.32
2010-11-02,17.7
2010-11-03,17.69
2010-11-04,18.43
2010-11-05,18.71
2010-11-08,18.96
2010-11-09,18.78
2010-11-10,18.97
2010-11-11,18.69
2010-11-12,18.38
2010-11-15,18.6
2010-11-16,18.17
2010-11-17,18.07
2010-11-18,18.27
2010-11-19,18.2
2010-11-22,18.25
2010-11-23,18.1
2010-11-24,18.72
2010-11-26,18.61
2010-11-29,18.33
2010-11-30,17.95
2010-12-01,18.24
2010-12-02,18.63
2010-12-03,18.99
2010-12-06,19.22
2010-12-07,19.63
2010-12-08,19.87
2010-12-09,20.41
2010-12-10,20.82
2010-12-13,20.46
2010-12-14,20.75
2010-12-15,20.14
2010-12-16,20.56
2010-12-17,20.69
2010-12-20,20.66
2010-12-21,20.77
2010-12-22,20.52
2010-12-23,20.49
2010-12-27,20.53
2010-12-28,20.55
2010-12-29,20.54
2010-12-30,20.2
2010-12-31,19.94
2011-01-03,20.11
2011-01-04,19.4
2011-01-05,19.15
2011-01-06,19.02
2011-01-07,18.5
2011-01-10,18.2
2011-01-11,18.13
2011-01-12,18.5
2011-01-13,18.73
2011-01-14,19.5
2011-01-18,20.07
2011-01-19,19.59
2011-01-20,19.06
2011-01-21,19.19
2011-01-24,19.44
2011-01-25,19.71
2011-01-26,20.47
2011-01-27,21.01
2011-01-28,20.55
2011-01-31,20.6
2011-02-01,20.99
2011-02-02,19.16
2011-02-03,18.66
2011-02-04,18.43
2011-02-07,18.91
2011-02-08,18.96
2011-02-09,18.79
2011-02-10,18.48
2011-02-11,18.4
2011-02-14,18.42
2011-02-15,18.33
