"Index","CDCO.Close"
2013-08-06,4.56
2013-08-07,4.5
2013-08-08,4.53
2013-08-09,4.25
2013-08-12,4.25
2013-08-13,4.51
2013-08-14,4.52
2013-08-15,4.52
2013-08-20,4.64
2013-08-21,4.55
2013-08-26,4.64
2013-08-27,4.56
2013-08-28,4.65
2013-08-29,4.65
2013-09-04,4.7
2013-09-05,4.65
2013-09-06,4.55
2013-09-10,4.55
2013-09-11,4.55
2013-09-13,4.65
2013-09-16,4.6
2013-09-20,4.55
2013-09-23,4.55
2013-09-24,4.55
2013-09-26,4.55
2013-09-27,4.55
2013-10-01,4.55
2013-10-02,4.52
2013-10-04,4.44
2013-10-14,4.55
2013-10-17,4.32
2013-10-18,4.5
2013-10-22,4.55
2013-10-23,4.5
2013-10-28,4.59
2013-10-31,4.6
2013-11-05,4.5
2013-11-08,4.5
2013-11-11,4.55
2013-11-19,4.52
2013-11-22,4.56
2013-11-25,4.56
2013-11-27,4.56
2013-12-11,4.5
2013-12-13,4.8
2013-12-27,4.81
2013-12-30,5.5
2013-12-31,5.4
2014-01-02,4.95
2014-01-07,4.95
2014-01-10,4.9
2014-01-24,4.9
2014-01-27,4.9
2014-02-03,5.05
2014-02-14,5.3
2014-02-24,4.9
2014-04-11,4.75
2014-04-15,4.8
2014-04-25,4.85
2014-05-05,4.85
2014-05-09,4.82
2014-06-02,4.8
2014-06-09,4.8
2014-06-13,5
2014-06-24,5.1
2014-07-15,4.9
2014-07-23,4.9
2014-07-25,4.88
2014-08-04,4.88
2014-08-05,4.89
2014-08-12,5.11
2014-08-20,6.5
2014-08-21,5.45
2014-08-22,5.2
2014-08-29,5.32
2014-09-04,5.7
2014-09-09,5.75
2014-09-10,6
2014-09-12,6
2014-09-16,6
2014-09-17,6
2014-09-19,5.9
2014-09-24,6
2014-09-29,6.02
2014-09-30,6.04
2014-10-01,6.2
2014-10-06,6.2
2014-10-07,6.05
2014-10-09,6.05
2014-10-15,6.05
2014-10-21,6
2014-10-23,6
2014-10-27,6
2014-10-30,6
2014-10-31,6.1
2014-11-03,5.6
2014-11-06,6.4
2014-11-24,6
2014-11-28,6
2014-12-08,6
2014-12-10,6
2014-12-12,6.5
2014-12-22,6.25
2014-12-23,6.5
2014-12-29,6.25
2014-12-31,6.5
2015-01-05,6
