"Index","CM.Close"
2012-04-18,0.00119
2012-04-19,-0.00397
2012-04-20,-0.00532
2012-04-23,-0.0118
2012-04-24,0.00283
2012-04-25,0.00537
2012-04-26,-0.00362
2012-04-27,0.01572
2012-04-30,-0.00384
2012-05-01,0.00516
2012-05-02,-0.01209
2012-05-03,-0.00859
2012-05-04,-0.01685
2012-05-07,0.00873
2012-05-08,-0.01134
2012-05-09,-0.0011
2012-05-10,0.00096
2012-05-11,-0.00193
2012-05-14,-0.01638
2012-05-15,-0.0059
2012-05-16,-0.00565
2012-05-17,-0.02046
2012-05-18,-0.00915
2012-05-21,0.0152
2012-05-22,-0.00793
2012-05-23,0.00203
2012-05-24,-0.00551
2012-05-25,-0.01199
2012-05-29,0.01706
2012-05-30,-0.01266
2012-05-31,0.01785
2012-06-01,-0.02534
2012-06-04,-0.01023
2012-06-05,0.00979
2012-06-06,0.01683
2012-06-07,0.00434
2012-06-08,-0.00885
2012-06-11,-0.00717
2012-06-12,0.0111
2012-06-13,0.00391
2012-06-14,0.00217
2012-06-15,0.01077
2012-06-18,-0.00558
2012-06-19,0.02552
2012-06-20,0
2012-06-21,-0.02494
2012-06-22,0.01425
2012-06-25,-0.0121
2012-06-26,-0.00892
2012-06-27,0.00014
2012-06-28,-0.00856
2012-06-29,0.02447
2012-07-02,0.00369
2012-07-03,0.02269
2012-07-05,-0.01016
2012-07-06,-0.01154
2012-07-09,-0.00028
2012-07-10,-0.01067
2012-07-11,0.00982
2012-07-12,-0.00298
2012-07-13,0.00778
2012-07-16,-0.00325
2012-07-17,0.00268
2012-07-18,0.00099
2012-07-19,0.00422
2012-07-20,-0.00619
2012-07-23,-0.00723
2012-07-24,-0.00242
2012-07-25,0.00484
2012-07-26,0.01087
2012-07-27,0.02468
2012-07-30,0.00219
2012-07-31,-0.00191
2012-08-01,0.00164
2012-08-02,-0.00961
2012-08-03,0.0092
2012-08-06,-0.00055
2012-08-07,0.01318
2012-08-08,-0.0023
2012-08-09,0.0054
2012-08-10,0.00711
2012-08-13,-8e-04
2012-08-14,0.00613
2012-08-15,0.0061
2012-08-16,0.00868
2012-08-17,0.00327
2012-08-20,0.00078
2012-08-21,0.00274
2012-08-22,-0.00365
2012-08-23,-0.00642
2012-08-24,0.00981
2012-08-27,0.00493
2012-08-28,-0.00363
2012-08-29,0.00389
2012-08-30,-0.01763
2012-08-31,0.01879
2012-09-04,-0.00091
2012-09-05,0.00735
