"Index","WBNK.Close"
2010-12-31,1.13
2011-01-03,1.06
2011-01-04,1.16
2011-01-05,1.28
2011-01-06,1.4
2011-01-07,1.43
2011-01-10,1.46
2011-01-11,1.71
2011-01-12,1.63
2011-01-13,1.71
2011-01-14,1.91
2011-01-18,1.96
2011-01-19,1.84
2011-01-20,1.9
2011-01-21,1.84
2011-01-24,1.68
2011-01-25,1.53
2011-01-26,1.59
2011-01-27,1.5
2011-01-28,1.5
2011-01-31,1.5
2011-02-01,1.55
2011-02-02,1.51
2011-02-03,1.56
2011-02-04,1.5
2011-02-07,1.51
2011-02-08,1.38
2011-02-09,1.37
2011-02-10,1.6
2011-02-11,1.55
2011-02-14,1.47
2011-02-15,1.3
2011-02-16,1.31
2011-02-17,1.36
2011-02-18,1.3
2011-02-22,1.16
2011-02-23,1.78
2011-02-24,1.84
2011-02-25,1.87
2011-02-28,1.69
2011-03-01,1.76
2011-03-02,1.78
2011-03-03,1.59
2011-03-04,1.7
2011-03-07,1.7
2011-03-08,1.75
2011-03-09,1.75
2011-03-10,1.66
2011-03-11,1.65
2011-03-14,1.7
2011-03-15,1.79
2011-03-16,1.7
2011-03-17,1.7
2011-03-18,1.65
2011-03-21,1.65
2011-03-22,1.65
2011-03-23,1.65
2011-03-24,1.5
2011-03-25,1.53
2011-03-28,1.37
2011-03-29,1.4
2011-03-30,1.41
2011-03-31,1.47
2011-04-01,1.65
2011-04-04,1.66
2011-04-05,1.66
2011-04-06,1.72
2011-04-07,1.55
2011-04-08,1.58
2011-04-11,1.59
2011-04-12,1.5
2011-04-13,1.43
2011-04-14,1.4
2011-04-15,1.3
2011-04-18,1.4
2011-04-19,1.22
2011-04-20,1.23
2011-04-21,1.12
2011-04-25,1.17
2011-04-26,1.16
2011-04-27,1.15
2011-04-28,1.21
2011-04-29,1.2
2011-05-02,1.21
2011-05-03,1.11
2011-05-04,1.11
2011-05-05,1.11
2011-05-06,1
2011-05-09,1
2011-05-10,1.1
2011-05-11,0.95
2011-05-12,0.95
2011-05-13,0.98
2011-05-16,0.95
2011-05-17,0.82
2011-05-18,0.86
2011-05-19,0.77
2011-05-20,0.79
2011-05-23,0.65
2011-05-24,0.67
2011-05-25,0.6
2011-05-26,0.7
2011-05-27,0.8
2011-05-31,0.9
2011-06-01,1
2011-06-02,0.97
2011-06-03,0.79
2011-06-06,0.8
2011-06-07,0.7
2011-06-08,0.75
2011-06-09,0.8
2011-06-10,0.65
2011-06-13,0.66
2011-06-14,0.7
2011-06-15,0.8
2011-06-16,0.68
2011-06-17,0.88
2011-06-20,0.85
2011-06-21,0.77
2011-06-22,0.68
2011-06-23,0.85
2011-06-24,0.85
2011-06-27,0.85
2011-06-28,0.75
2011-06-29,0.8
2011-06-30,0.85
2011-07-01,0.8
2011-07-05,0.75
2011-07-06,0.75
2011-07-07,0.98
2011-07-08,0.8
2011-07-11,0.8
2011-07-12,0.75
2011-07-13,0.75
2011-07-14,0.79
2011-07-15,0.74
2011-07-18,0.65
2011-07-19,0.73
2011-07-20,0.75
2011-07-21,0.64
2011-07-22,0.72
2011-07-25,0.64
2011-07-26,0.8
2011-07-27,0.69
2011-07-28,0.69
2011-07-29,0.69
2011-08-01,0.69
2011-08-02,0.7
2011-08-03,0.67
2011-08-04,0.58
2011-08-05,0.59
2011-08-08,0.58
2011-08-09,0.44
2011-08-10,0.52
2011-08-11,0.53
2011-08-12,0.7
2011-08-15,0.6
2011-08-16,0.6
2011-08-17,0.55
2011-08-18,0.5
2011-08-19,0.6
2011-08-22,0.65
2011-08-23,0.52
2011-08-24,0.53
2011-08-25,0.54
2011-08-26,0.41
2011-08-29,0.44
2011-08-30,0.4
2011-08-31,0.4
2011-09-01,0.45
2011-09-02,0.41
2011-09-06,0.45
2011-09-07,0.4
2011-09-08,0.37
2011-09-09,0.32
2011-09-12,0.33
2011-09-13,0.3
2011-09-14,0.3
2011-09-15,0.31
2011-09-16,0.38
2011-09-19,0.36
2011-09-20,0.31
2011-09-21,0.29
2011-09-22,0.32
2011-09-23,0.24
2011-09-26,0.3
2011-09-27,0.27
2011-09-28,0.29
2011-09-29,0.29
2011-09-30,0.18
2011-10-03,0.23
2011-10-04,0.18
2011-10-05,0.17
2011-10-06,0.14
2011-10-07,0.2
2011-10-10,0.23
2011-10-11,0.35
2011-10-12,0.45
2011-10-13,0.4
2011-10-14,0.49
2011-10-17,0.39
2011-10-18,0.42
2011-10-19,0.38
2011-10-20,0.41
2011-10-21,0.43
2011-10-24,0.49
2011-10-25,0.38
2011-10-26,0.33
2011-10-27,0.36
2011-10-28,0.43
2011-10-31,0.49
2011-11-01,0.42
2011-11-02,0.36
2011-11-03,0.42
2011-11-04,0.42
2011-11-07,0.47
2011-11-08,0.38
2011-11-09,0.38
2011-11-10,0.42
2011-11-11,0.4
2011-11-14,0.39
2011-11-15,0.25
2011-11-16,0.31
2011-11-17,0.28
2011-11-18,0.38
2011-11-21,0.3
2011-11-22,0.3
2011-11-23,0.15
2011-11-25,0.19
2011-11-28,0.19
2011-11-29,0.23
2011-11-30,0.23
2011-12-01,0.35
2011-12-02,0.4
2011-12-05,0.39
2011-12-06,0.3
2011-12-07,0.27
2011-12-08,0.19
2011-12-09,0.2
2011-12-12,0.2
