"Index","ALTI.Close"
2011-03-21,2.37
2011-03-22,2.39
2011-03-23,2.35
2011-03-24,2.35
2011-03-25,2.28
2011-03-28,2.23
2011-03-29,1.61
2011-03-30,1.58
2011-03-31,1.58
2011-04-01,1.58
2011-04-04,1.54
2011-04-05,1.64
2011-04-06,1.6
2011-04-07,1.61
2011-04-08,1.58
2011-04-11,1.51
2011-04-12,1.48
2011-04-13,1.55
2011-04-14,1.56
2011-04-15,1.5
2011-04-18,1.4
2011-04-19,1.47
2011-04-20,1.49
2011-04-21,1.52
2011-04-25,1.53
2011-04-26,1.53
2011-04-27,1.48
2011-04-28,1.42
2011-04-29,1.42
2011-05-02,1.48
2011-05-03,1.39
2011-05-04,1.37
2011-05-05,1.43
2011-05-06,1.43
2011-05-09,1.47
2011-05-10,1.51
2011-05-11,1.51
2011-05-12,1.55
2011-05-13,1.49
2011-05-16,1.5
2011-05-17,1.47
2011-05-18,1.4
2011-05-19,1.43
2011-05-20,1.4
2011-05-23,1.38
2011-05-24,1.36
2011-05-25,1.43
2011-05-26,1.46
2011-05-27,1.5
2011-05-31,1.47
2011-06-01,1.39
2011-06-02,1.31
2011-06-03,1.28
2011-06-06,1.31
2011-06-07,1.31
2011-06-08,1.26
2011-06-09,1.25
2011-06-10,1.14
2011-06-13,1.09
2011-06-14,1.06
2011-06-15,0.97
2011-06-16,0.92
2011-06-17,0.96
2011-06-20,0.9
2011-06-21,0.89
2011-06-22,0.91
2011-06-23,0.87
2011-06-24,0.93
2011-06-27,0.84
2011-06-28,0.87
2011-06-29,0.9
2011-06-30,0.86
2011-07-01,0.86
2011-07-05,0.94
2011-07-06,1.2
2011-07-07,1.16
2011-07-08,1.21
2011-07-11,1.17
2011-07-12,1.04
2011-07-13,0.95
2011-07-14,0.9
2011-07-15,0.96
2011-07-18,0.81
2011-07-19,0.76
2011-07-20,0.74
2011-07-21,0.81
2011-07-22,1.08
2011-07-25,1.25
2011-07-26,1.47
2011-07-27,1.62
2011-07-28,1.59
2011-07-29,1.46
2011-08-01,1.42
2011-08-02,1.33
2011-08-03,1.3
2011-08-04,1.26
2011-08-05,1.22
2011-08-08,1.11
2011-08-09,1.2
2011-08-10,1.18
2011-08-11,1.23
2011-08-12,1.27
2011-08-15,1.34
2011-08-16,1.36
2011-08-17,1.26
2011-08-18,1.21
2011-08-19,1.21
2011-08-22,1.08
2011-08-23,1.1
2011-08-24,1.24
2011-08-25,1.16
2011-08-26,1.16
2011-08-29,1.18
2011-08-30,1.21
2011-08-31,1.15
2011-09-01,1.13
2011-09-02,1.17
2011-09-06,1.12
2011-09-07,1.14
2011-09-08,1.18
2011-09-09,1.12
2011-09-12,1.12
2011-09-13,1.15
2011-09-14,1.16
2011-09-15,1.14
2011-09-16,1.1
2011-09-19,1.08
2011-09-20,1.13
2011-09-21,0.97
2011-09-22,0.87
2011-09-23,1.03
2011-09-26,1
2011-09-27,1.04
2011-09-28,1.39
2011-09-29,1.41
2011-09-30,1.34
2011-10-03,1.21
2011-10-04,1.36
2011-10-05,1.27
2011-10-06,1.3
2011-10-07,1.27
2011-10-10,1.27
2011-10-11,1.35
2011-10-12,1.31
2011-10-13,1.28
2011-10-14,1.38
2011-10-17,1.37
2011-10-18,1.42
2011-10-19,1.35
2011-10-20,1.39
2011-10-21,1.42
2011-10-24,1.4
2011-10-25,1.32
2011-10-26,1.32
2011-10-27,1.39
2011-10-28,1.38
2011-10-31,1.34
2011-11-01,1.31
2011-11-02,1.26
2011-11-03,1.12
2011-11-04,1.1
2011-11-07,1.05
2011-11-08,1.1
2011-11-09,1.07
2011-11-10,1.06
2011-11-11,1.07
2011-11-14,1.06
2011-11-15,1.07
2011-11-16,1.08
2011-11-17,1.03
2011-11-18,1.06
2011-11-21,0.97
2011-11-22,1
2011-11-23,0.98
2011-11-25,0.96
2011-11-28,1
2011-11-29,0.94
2011-11-30,0.92
2011-12-01,0.98
2011-12-02,0.97
2011-12-05,0.94
2011-12-06,0.91
2011-12-07,0.91
2011-12-08,0.9
2011-12-09,0.84
2011-12-12,0.87
2011-12-13,0.87
2011-12-14,0.87
2011-12-15,0.91
2011-12-16,0.85
2011-12-19,0.8
2011-12-20,0.86
2011-12-21,0.8
2011-12-22,0.76
2011-12-23,0.77
2011-12-27,0.81
2011-12-28,0.75
2011-12-29,0.63
2011-12-30,0.66
2012-01-03,0.66
2012-01-04,0.6
2012-01-05,0.59
2012-01-06,0.63
2012-01-09,0.71
2012-01-10,0.68
2012-01-11,0.71
2012-01-12,0.67
2012-01-13,0.63
2012-01-17,0.68
2012-01-18,0.7
2012-01-19,0.66
2012-01-20,0.64
2012-01-23,0.63
2012-01-24,0.64
2012-01-25,0.62
2012-01-26,0.62
2012-01-27,0.61
2012-01-30,0.61
2012-01-31,0.61
2012-02-01,0.63
2012-02-02,0.75
2012-02-03,0.7
2012-02-06,0.69
2012-02-07,0.7
2012-02-08,0.72
2012-02-09,0.76
2012-02-10,0.72
2012-02-13,0.73
2012-02-14,0.71
2012-02-15,0.75
2012-02-16,0.74
2012-02-17,0.78
2012-02-21,0.79
2012-02-22,0.76
2012-02-23,0.72
2012-02-24,0.7
2012-02-27,0.7
2012-02-28,0.71
2012-02-29,0.69
2012-03-01,0.64
2012-03-02,0.64
2012-03-05,0.65
2012-03-06,0.63
2012-03-07,0.64
2012-03-08,0.63
2012-03-09,0.65
2012-03-12,0.7
2012-03-13,0.64
2012-03-14,0.64
2012-03-15,0.62
2012-03-16,0.63
2012-03-19,0.65
2012-03-20,0.63
2012-03-21,0.7
2012-03-22,0.65
2012-03-23,0.65
2012-03-26,0.66
2012-03-27,0.66
2012-03-28,0.63
2012-03-29,0.63
2012-03-30,0.6
2012-04-02,0.61
2012-04-03,0.61
2012-04-04,0.61
2012-04-05,0.65
2012-04-09,0.64
2012-04-10,0.64
2012-04-11,0.65
2012-04-12,0.67
2012-04-13,0.71
2012-04-16,0.81
2012-04-17,0.88
2012-04-18,0.9
2012-04-19,0.92
2012-04-20,0.92
2012-04-23,0.87
2012-04-24,0.93
2012-04-25,0.91
2012-04-26,0.9
2012-04-27,0.82
2012-04-30,0.81
2012-05-01,0.79
2012-05-02,0.7
2012-05-03,0.69
2012-05-04,0.68
2012-05-07,0.72
2012-05-08,0.68
2012-05-09,0.74
2012-05-10,0.69
2012-05-11,0.68
2012-05-14,0.68
2012-05-15,0.62
2012-05-16,0.67
2012-05-17,0.64
2012-05-18,0.62
2012-05-21,0.62
2012-05-22,0.62
2012-05-23,0.64
2012-05-24,0.66
2012-05-25,0.66
2012-05-29,0.61
2012-05-30,0.55
2012-05-31,0.67
2012-06-01,0.55
2012-06-04,0.59
2012-06-05,0.63
2012-06-06,0.62
2012-06-07,0.6
2012-06-08,0.57
2012-06-11,0.56
2012-06-12,0.56
2012-06-13,0.64
2012-06-14,0.6
2012-06-15,0.63
2012-06-18,0.59
2012-06-19,0.58
2012-06-20,0.58
2012-06-21,0.58
2012-06-22,0.54
2012-06-25,0.56
2012-06-26,0.55
2012-06-27,0.54
2012-06-28,0.52
2012-06-29,0.52
2012-07-02,0.46
2012-07-03,0.49
2012-07-05,0.48
2012-07-06,0.48
2012-07-09,0.48
2012-07-10,0.47
2012-07-11,0.48
2012-07-12,0.47
2012-07-13,0.46
2012-07-16,0.46
2012-07-17,0.45
2012-07-18,0.44
2012-07-19,0.46
2012-07-20,0.46
2012-07-23,0.42
2012-07-24,0.43
2012-07-25,0.43
2012-07-26,0.43
2012-07-27,0.46
2012-07-30,0.43
2012-07-31,0.45
2012-08-01,0.46
2012-08-02,0.43
2012-08-03,0.44
2012-08-06,0.45
2012-08-07,0.43
2012-08-08,0.4
2012-08-09,0.45
2012-08-10,0.48
2012-08-13,0.51
2012-08-14,0.53
2012-08-15,0.51
2012-08-16,0.52
2012-08-17,0.5
2012-08-20,0.5
2012-08-21,0.55
2012-08-22,0.58
2012-08-23,0.62
2012-08-24,0.65
2012-08-27,0.74
2012-08-28,0.76
2012-08-29,0.79
2012-08-30,0.73
2012-08-31,0.75
2012-09-04,0.8
2012-09-05,0.8
2012-09-06,0.75
2012-09-07,0.64
2012-09-10,0.62
2012-09-11,0.64
2012-09-12,0.73
2012-09-13,0.75
2012-09-14,0.72
2012-09-17,0.79
2012-09-18,0.78
2012-09-19,0.74
2012-09-20,0.75
2012-09-21,0.79
2012-09-24,0.75
2012-09-25,0.67
2012-09-26,0.68
2012-09-27,0.7
2012-09-28,0.74
2012-10-01,0.73
2012-10-02,0.76
2012-10-03,0.73
2012-10-04,0.7
2012-10-05,0.65
2012-10-08,0.68
2012-10-09,0.67
2012-10-10,0.66
2012-10-11,0.65
2012-10-12,0.7
2012-10-15,0.67
2012-10-16,0.68
2012-10-17,0.67
2012-10-18,0.63
2012-10-19,0.58
2012-10-22,0.58
2012-10-23,0.56
2012-10-24,0.56
2012-10-25,0.55
2012-10-26,0.55
2012-10-31,0.47
2012-11-01,0.54
2012-11-02,0.52
2012-11-05,0.54
2012-11-06,0.52
2012-11-07,0.57
2012-11-08,0.51
2012-11-09,0.55
2012-11-12,0.51
2012-11-13,0.5
2012-11-14,0.51
2012-11-15,0.51
2012-11-16,0.51
2012-11-19,0.54
2012-11-20,0.54
2012-11-21,0.49
2012-11-23,0.5
2012-11-26,0.5
2012-11-27,0.51
2012-11-28,0.52
2012-11-29,0.5
2012-11-30,0.5
2012-12-03,0.52
2012-12-04,0.49
2012-12-05,0.51
2012-12-06,0.51
2012-12-07,0.53
2012-12-10,0.5
2012-12-11,0.52
2012-12-12,0.49
2012-12-13,0.48
2012-12-14,0.46
2012-12-17,0.47
2012-12-18,2.47
2012-12-19,2.48
2012-12-20,2.47
2012-12-21,2.33
2012-12-24,2.25
2012-12-26,2.11
2012-12-27,2.15
2012-12-28,2.1
2012-12-31,2.15
2013-01-02,2.07
2013-01-03,2.1
2013-01-04,2.13
2013-01-07,2.12
2013-01-08,2.14
2013-01-09,2.28
2013-01-10,2.15
2013-01-11,2.12
2013-01-14,2.2
2013-01-15,2.13
2013-01-16,2.15
2013-01-17,2.19
2013-01-18,2.16
2013-01-22,2.22
2013-01-23,2.28
2013-01-24,2.28
2013-01-25,2.26
2013-01-28,2.27
2013-01-29,2.24
2013-01-30,2.14
2013-01-31,2.11
2013-02-01,2.19
2013-02-04,2.08
2013-02-05,2.07
2013-02-06,2.16
2013-02-07,2.05
2013-02-08,2.11
2013-02-11,2.15
2013-02-12,2.16
2013-02-13,2.18
2013-02-14,2.17
2013-02-15,2.24
2013-02-19,2.2
2013-02-20,2.21
2013-02-21,2.08
2013-02-22,2.08
2013-02-25,2.08
2013-02-26,2.1
2013-02-27,2.05
2013-02-28,2.06
2013-03-01,2.15
2013-03-04,2.13
2013-03-05,2.17
2013-03-06,2.16
2013-03-07,2.24
2013-03-08,2.15
2013-03-11,2.08
2013-03-12,2.08
2013-03-13,2.07
2013-03-14,2.12
2013-03-15,2.08
2013-03-18,2.15
2013-03-19,2.22
2013-03-20,2.21
2013-03-21,2.21
2013-03-22,2.2
2013-03-25,2.35
2013-03-26,2.55
2013-03-27,2.84
2013-03-28,2.8
2013-04-01,2.71
2013-04-02,2.73
2013-04-03,2.65
2013-04-04,2.42
2013-04-05,2.28
2013-04-08,2.3
2013-04-09,2.32
2013-04-10,2.35
2013-04-11,2.32
2013-04-12,2.27
2013-04-15,2.22
2013-04-16,2.23
2013-04-17,2.39
2013-04-18,2.3
2013-04-19,2.18
2013-04-22,2.18
2013-04-23,2.21
2013-04-24,2.21
2013-04-25,2.25
2013-04-26,2.22
2013-04-29,2.35
2013-04-30,2.26
2013-05-01,2.35
2013-05-02,2.24
2013-05-03,2.18
2013-05-06,2.15
2013-05-07,2.15
2013-05-08,2.12
2013-05-09,2.1
2013-05-10,2.12
2013-05-13,2.12
2013-05-14,2.12
2013-05-15,2.35
2013-05-16,2.47
2013-05-17,2.25
2013-05-20,2.43
2013-05-21,2.34
2013-05-22,2.54
2013-05-23,2.46
2013-05-24,2.4
2013-05-28,2.46
2013-05-29,2.73
2013-05-30,2.61
2013-05-31,2.48
2013-06-03,2.43
2013-06-04,2.42
2013-06-05,2.25
2013-06-06,2.25
2013-06-07,2.19
2013-06-10,2.3
2013-06-11,2.54
2013-06-12,2.37
2013-06-13,2.4
2013-06-14,2.31
2013-06-17,2.31
2013-06-18,2.22
2013-06-19,2.36
2013-06-20,2.22
2013-06-21,2.27
2013-06-24,2.2
2013-06-25,2.17
2013-06-26,2.18
2013-06-27,2.2
2013-06-28,2.22
2013-07-01,2.34
2013-07-02,2.38
2013-07-03,2.26
2013-07-05,2.26
2013-07-08,2.31
2013-07-09,2.32
2013-07-10,2.27
2013-07-11,2.3
2013-07-12,2.28
2013-07-15,2.3
2013-07-16,2.34
2013-07-17,2.35
2013-07-18,2.27
2013-07-19,2.28
2013-07-22,2.29
2013-07-23,2.26
2013-07-24,2.28
2013-07-25,2.26
2013-07-26,2.28
2013-07-29,2.24
2013-07-30,2.21
2013-07-31,2.24
2013-08-01,2.22
2013-08-02,2.2
2013-08-05,2.17
2013-08-06,2.19
2013-08-07,2.16
2013-08-08,2.15
2013-08-12,2.12
2013-08-13,2.12
2013-08-14,2.12
2013-08-15,2.17
2013-08-16,2.15
2013-08-19,2.11
2013-08-20,2.12
2013-08-21,2.15
2013-08-22,2.18
2013-08-23,2.27
2013-08-26,2.34
2013-08-27,2.36
2013-08-28,2.43
2013-08-29,2.43
2013-08-30,2.36
2013-09-03,2.29
2013-09-04,2.32
2013-09-05,2.29
2013-09-06,2.32
2013-09-09,2.38
2013-09-10,2.35
2013-09-11,2.35
2013-09-12,2.47
2013-09-13,2.53
2013-09-16,2.48
2013-09-17,2.49
2013-09-18,2.45
2013-09-19,2.42
2013-09-20,2.46
2013-09-23,2.42
2013-09-24,2.43
2013-09-25,2.45
2013-09-26,2.63
2013-09-27,2.62
2013-09-30,2.57
2013-10-01,2.69
2013-10-02,2.61
2013-10-03,2.64
2013-10-04,3.16
2013-10-07,3.56
