"Index","ASTE.Close"
2012-04-17,35.07
2012-04-18,34.79
2012-04-19,34.37
2012-04-20,34.81
2012-04-23,33.19
2012-04-24,32.8
2012-04-25,31.94
2012-04-26,31.84
2012-04-27,31.99
2012-04-30,31.29
2012-05-01,30.58
2012-05-02,30.69
2012-05-03,29.97
2012-05-04,28.76
2012-05-07,29.97
2012-05-08,29.69
2012-05-09,29.56
2012-05-10,28.67
2012-05-11,29.01
2012-05-14,29.74
2012-05-15,30
2012-05-16,28.91
2012-05-17,28.38
2012-05-18,28.25
2012-05-21,28.85
2012-05-22,28.7
2012-05-23,28.58
2012-05-24,28.5
2012-05-25,28.39
2012-05-29,28.89
2012-05-30,28.22
2012-05-31,27.45
2012-06-01,26.96
2012-06-04,27.12
2012-06-05,27.23
2012-06-06,27.99
2012-06-07,27.84
2012-06-08,28.49
2012-06-11,27.46
2012-06-12,27.62
2012-06-13,27.54
2012-06-14,27.68
2012-06-15,28.55
2012-06-18,28.23
2012-06-19,29.25
2012-06-20,28.75
2012-06-21,27.6
2012-06-22,27.67
2012-06-25,27.88
2012-06-26,27.89
2012-06-27,28.66
2012-06-28,29.41
2012-06-29,30.68
2012-07-02,30.37
2012-07-03,31.23
2012-07-05,31.45
2012-07-06,30.56
2012-07-09,30.32
2012-07-10,29.04
2012-07-11,28.51
2012-07-12,29.18
2012-07-13,29.91
2012-07-16,29.66
2012-07-17,30.03
2012-07-18,30.49
2012-07-19,30.29
2012-07-20,29.59
2012-07-23,29.31
2012-07-24,27.52
2012-07-25,27.52
2012-07-26,27.38
2012-07-27,28.32
2012-07-30,29.02
2012-07-31,29.2
2012-08-01,28.22
2012-08-02,27.92
2012-08-03,29.26
2012-08-06,29.75
2012-08-07,30.13
2012-08-08,30.44
2012-08-09,30.86
2012-08-10,30.69
2012-08-13,30.31
2012-08-14,29.65
2012-08-15,29.73
2012-08-16,30.62
2012-08-17,30.8
2012-08-20,30.72
2012-08-21,30.51
2012-08-22,30.54
2012-08-23,30.12
2012-08-24,29.98
2012-08-27,29.08
2012-08-28,29.49
2012-08-29,29.55
2012-08-30,29.22
2012-08-31,29.33
2012-09-04,29.29
2012-09-05,29.43
2012-09-06,30.83
2012-09-07,31.59
2012-09-10,31.84
2012-09-11,32.13
2012-09-12,32.35
2012-09-13,32.99
2012-09-14,33.78
2012-09-17,33.47
2012-09-18,32.4
2012-09-19,33.05
2012-09-20,32.71
2012-09-21,32.32
2012-09-24,32.39
2012-09-25,31.55
2012-09-26,31.39
2012-09-27,31.85
2012-09-28,31.61
2012-10-01,31.89
2012-10-02,31.77
2012-10-03,31.54
2012-10-04,31.98
2012-10-05,32.03
2012-10-08,31.95
2012-10-09,31.46
