"Index","NVG.Close"
2010-03-25,14.32
2010-03-26,14.25
2010-03-29,14.17
2010-03-30,14.21
2010-03-31,14.28
2010-04-01,14.35
2010-04-05,14.2
2010-04-06,14.26
2010-04-07,14.28
2010-04-08,14.26
2010-04-09,14.39
2010-04-12,14.3
2010-04-13,14.29
2010-04-14,14.39
2010-04-15,14.29
2010-04-16,14.26
2010-04-19,14.24
2010-04-20,14.31
2010-04-21,14.31
2010-04-22,14.42
2010-04-23,14.47
2010-04-26,14.56
2010-04-27,14.52
2010-04-28,14.62
2010-04-29,14.5
2010-04-30,14.53
2010-05-03,14.6
2010-05-04,14.6
2010-05-05,14.52
2010-05-06,14.22
2010-05-07,14.22
2010-05-10,14.37
2010-05-11,14.42
2010-05-12,14.45
2010-05-13,14.45
2010-05-14,14.5
2010-05-17,14.3
2010-05-18,14.3
2010-05-19,14.31
2010-05-20,14.18
2010-05-21,14.27
2010-05-24,14.23
2010-05-25,14.29
2010-05-26,14.34
2010-05-27,14.34
2010-05-28,14.45
2010-06-01,14.47
2010-06-02,14.54
2010-06-03,14.51
2010-06-04,14.54
2010-06-07,14.5
2010-06-08,14.51
2010-06-09,14.5
2010-06-10,14.55
2010-06-11,14.54
2010-06-14,14.53
2010-06-15,14.48
2010-06-16,14.43
2010-06-17,14.43
2010-06-18,14.37
2010-06-21,14.37
2010-06-22,14.44
2010-06-23,14.59
2010-06-24,14.59
2010-06-25,14.59
2010-06-28,14.58
2010-06-29,14.57
2010-06-30,14.58
2010-07-01,14.6
2010-07-02,14.72
2010-07-06,14.72
2010-07-07,14.72
2010-07-08,14.56
2010-07-09,14.76
2010-07-12,14.78
2010-07-13,14.65
2010-07-14,14.62
2010-07-15,14.63
2010-07-16,14.64
2010-07-19,14.67
2010-07-20,14.69
2010-07-21,14.75
2010-07-22,14.8
2010-07-23,14.85
2010-07-26,14.86
2010-07-27,14.81
2010-07-28,14.8
2010-07-29,14.87
2010-07-30,14.95
2010-08-02,14.99
2010-08-03,15
2010-08-04,14.98
2010-08-05,14.99
2010-08-06,15.11
2010-08-09,15.13
2010-08-10,15.12
2010-08-11,15.15
2010-08-12,14.96
2010-08-13,15.2
2010-08-16,15.2
2010-08-17,15.22
2010-08-18,15.21
2010-08-19,15.21
2010-08-20,15.17
2010-08-23,15.2
2010-08-24,15.21
2010-08-25,15.15
2010-08-26,15.25
2010-08-27,15.34
2010-08-30,15.14
2010-08-31,15.2
2010-09-01,15.25
2010-09-02,15.31
2010-09-03,15.27
2010-09-07,15.23
2010-09-08,15.25
2010-09-09,15.26
2010-09-10,15.32
2010-09-13,15.24
2010-09-14,15.26
2010-09-15,14.91
2010-09-16,14.76
2010-09-17,14.93
2010-09-20,14.98
2010-09-21,15.1
2010-09-22,15.09
2010-09-23,15.16
2010-09-24,15
2010-09-27,14.97
2010-09-28,15.08
2010-09-29,15.09
2010-09-30,15.11
2010-10-01,15.14
2010-10-04,15.13
2010-10-05,15.12
2010-10-06,15.09
2010-10-07,15.05
2010-10-08,14.98
2010-10-11,14.93
2010-10-12,14.93
2010-10-13,14.85
2010-10-14,14.83
2010-10-15,14.77
2010-10-18,14.79
2010-10-19,14.65
2010-10-20,14.67
2010-10-21,14.73
2010-10-22,14.75
2010-10-25,14.8
2010-10-26,14.84
2010-10-27,14.81
2010-10-28,14.83
2010-10-29,14.8
2010-11-01,14.78
2010-11-02,14.8
2010-11-03,14.82
2010-11-04,14.78
2010-11-05,14.77
2010-11-08,14.65
2010-11-09,14.55
2010-11-10,14.1
2010-11-11,13.83
2010-11-12,13.97
2010-11-15,13.43
2010-11-16,13.81
2010-11-17,13.98
2010-11-18,13.8
2010-11-19,14.09
2010-11-22,14.3
2010-11-23,14.38
2010-11-24,14.19
2010-11-26,14.15
2010-11-29,14.19
2010-11-30,14.21
2010-12-01,14.13
2010-12-02,14.08
2010-12-03,14.07
2010-12-06,13.8
2010-12-07,13.6
2010-12-08,13.39
2010-12-09,13.35
2010-12-10,13.3
2010-12-13,13.21
2010-12-14,12.89
2010-12-15,13.15
2010-12-16,13.54
2010-12-17,13.75
2010-12-20,13.22
2010-12-21,13.32
2010-12-22,13.3
2010-12-23,13.26
2010-12-27,13.21
2010-12-28,13.28
2010-12-29,13.23
2010-12-30,13.39
2010-12-31,13.6
2011-01-03,13.62
2011-01-04,13.67
2011-01-05,13.53
2011-01-06,13.4
2011-01-07,13.42
2011-01-10,13.26
2011-01-11,13.29
2011-01-12,13.08
2011-01-13,12.9
2011-01-14,12.63
2011-01-18,12.86
2011-01-19,12.88
2011-01-20,13.12
2011-01-21,13.25
2011-01-24,13.35
2011-01-25,13.45
2011-01-26,13.49
2011-01-27,13.48
2011-01-28,13.37
2011-01-31,13.47
2011-02-01,13.43
2011-02-02,13.4
2011-02-03,13.28
2011-02-04,13.29
2011-02-07,13.24
2011-02-08,13.36
2011-02-09,13.28
2011-02-10,13.33
2011-02-11,13.36
2011-02-14,13.15
2011-02-15,13.26
2011-02-16,13.28
2011-02-17,13.24
2011-02-18,13.26
2011-02-22,13.11
2011-02-23,13.21
2011-02-24,13.3
2011-02-25,13.22
2011-02-28,13.37
2011-03-01,13.41
2011-03-02,13.45
2011-03-03,13.33
2011-03-04,13.43
2011-03-07,13.33
2011-03-08,13.26
2011-03-09,13.27
2011-03-10,13.26
2011-03-11,13.15
2011-03-14,13.19
2011-03-15,13.28
2011-03-16,13.19
2011-03-17,13.32
2011-03-18,13.35
2011-03-21,13.37
2011-03-22,13.21
2011-03-23,13.3
2011-03-24,13.33
2011-03-25,13.45
2011-03-28,13.47
2011-03-29,13.52
2011-03-30,13.42
2011-03-31,13.38
2011-04-01,13.37
2011-04-04,13.38
2011-04-05,13.3
2011-04-06,13.34
2011-04-07,13.37
2011-04-08,13.42
2011-04-11,13.35
2011-04-12,13.39
2011-04-13,13.3
2011-04-14,13.17
2011-04-15,13.21
2011-04-18,13.21
2011-04-19,13.16
2011-04-20,13.33
2011-04-21,13.26
2011-04-25,13.27
2011-04-26,13.22
2011-04-27,13.4
2011-04-28,13.49
2011-04-29,13.53
2011-05-02,13.63
2011-05-03,13.62
2011-05-04,13.7
2011-05-05,13.63
2011-05-06,13.68
2011-05-09,13.7
2011-05-10,13.81
2011-05-11,13.78
2011-05-12,13.8
2011-05-13,13.79
2011-05-16,13.82
2011-05-17,13.77
2011-05-18,13.8
2011-05-19,13.73
2011-05-20,13.76
2011-05-23,13.77
2011-05-24,13.77
2011-05-25,13.77
2011-05-26,13.87
2011-05-27,13.9
2011-05-31,13.94
2011-06-01,13.83
2011-06-02,13.8
2011-06-03,13.85
2011-06-06,13.86
2011-06-07,13.85
2011-06-08,13.85
2011-06-09,13.92
2011-06-10,13.89
2011-06-13,13.77
2011-06-14,13.86
2011-06-15,13.76
2011-06-16,13.77
2011-06-17,13.81
2011-06-20,13.83
2011-06-21,13.89
2011-06-22,14
2011-06-23,14.06
2011-06-24,14.02
2011-06-27,13.96
2011-06-28,14.02
2011-06-29,13.9
2011-06-30,13.85
2011-07-01,13.97
2011-07-05,14.03
2011-07-06,14.01
2011-07-07,14.04
2011-07-08,14.15
2011-07-11,14.18
2011-07-12,14.23
2011-07-13,14.18
2011-07-14,14.11
2011-07-15,14.07
2011-07-18,14.03
2011-07-19,14.15
2011-07-20,14.31
2011-07-21,14.29
2011-07-22,14.19
2011-07-25,14.19
2011-07-26,14.07
2011-07-27,13.77
2011-07-28,13.65
2011-07-29,13.6
2011-08-01,13.82
2011-08-02,13.89
2011-08-03,13.97
2011-08-04,13.85
2011-08-05,13.75
2011-08-08,13.27
2011-08-09,13.5
2011-08-10,13.68
2011-08-11,13.72
2011-08-12,13.72
2011-08-15,13.94
2011-08-16,14.01
2011-08-17,14.08
2011-08-18,13.95
2011-08-19,13.95
2011-08-22,13.97
2011-08-23,14.13
2011-08-24,14.18
2011-08-25,14.1
2011-08-26,14.09
2011-08-29,14.2
2011-08-30,14.21
2011-08-31,14.26
2011-09-01,14.29
2011-09-02,14.29
2011-09-06,14.29
2011-09-07,14.27
2011-09-08,14.34
2011-09-09,14.44
2011-09-12,14.41
2011-09-13,14.31
2011-09-14,14.32
2011-09-15,14.23
2011-09-16,14.21
2011-09-19,14.28
2011-09-20,14.36
