"Index","VIV.Close"
2012-09-17,-0.01328
2012-09-18,-0.00895
2012-09-19,-0.0036
2012-09-20,-0.01317
2012-09-21,-0.00046
2012-09-24,-0.00459
2012-09-25,-0.01202
2012-09-26,0.00279
2012-09-27,-0.00558
2012-09-28,0.0139
2012-10-01,0.01189
2012-10-02,-0.0073
2012-10-03,-0.01476
2012-10-04,0.02297
2012-10-05,0.01532
2012-10-08,0.00179
2012-10-09,-0.01303
2012-10-10,-0.00772
2012-10-11,0.00591
2012-10-12,-0.01185
2012-10-15,0.00183
2012-10-16,0.01769
2012-10-17,-0.0018
2012-10-18,-0.00045
2012-10-19,-0.01636
2012-10-22,0.00229
2012-10-23,-0.01288
2012-10-24,-0.00697
2012-10-25,0.00558
2012-10-26,-0.00372
2012-10-31,0.02436
2012-11-01,0.00949
2012-11-02,-0.01268
2012-11-05,-0.00686
2012-11-06,0.04222
2012-11-07,0.01093
2012-11-08,-0.00218
2012-11-09,-0.00175
2012-11-12,0.01946
2012-11-13,-0.0112
2012-11-14,-0.0013
2012-11-15,-0.01309
2012-11-16,-0.00264
2012-11-19,0.01747
2012-11-20,0.00432
2012-11-21,-0.01171
2012-11-23,0.01515
2012-11-26,-0.04525
2012-11-27,-0.0018
2012-11-28,0.0103
2012-11-29,0.00134
2012-11-30,-0.02387
2012-12-03,-0.02914
2012-12-04,-0.00659
2012-12-05,0.02841
2012-12-06,-0.00138
2012-12-07,0.00733
2012-12-10,-0.00825
2012-12-11,0.01144
2012-12-12,0
2012-12-13,0.00816
2012-12-14,0.01389
2012-12-17,-0.00625
2012-12-18,0.01423
2012-12-19,0.02054
2012-12-20,0.01545
2012-12-21,-0.00043
2012-12-24,-0.01502
2012-12-26,0.02435
2012-12-27,0.00757
2012-12-28,0.00876
2012-12-31,-0.00083
2013-01-02,0.01075
2013-01-03,0.01226
2013-01-04,0
2013-01-07,0.00527
2013-01-08,-0.00202
2013-01-09,-0.00854
2013-01-10,0.01338
2013-01-11,0.00803
2013-01-14,0.0135
2013-01-15,0.00197
2013-01-16,0.00667
2013-01-17,0.00818
2013-01-18,-0.01681
2013-01-22,-0.02921
2013-01-23,0.00446
2013-01-24,-0.00162
2013-01-25,-0.00284
2013-01-28,0.00365
2013-01-29,0.01406
2013-01-30,-0.0036
2013-01-31,0.00797
2013-02-01,0.00909
2013-02-04,-0.00276
2013-02-05,0.00433
2013-02-06,-0.00315
2013-02-07,0.00433
2013-02-08,-0.00157
2013-02-11,0.00314
2013-02-12,-0.00471
2013-02-13,0.00823
2013-02-14,-0.00902
2013-02-15,-0.02554
2013-02-19,0.01405
2013-02-20,-0.02216
2013-02-21,-0.00082
2013-02-22,-0.00368
2013-02-25,0.03024
2013-02-26,0.03128
2013-02-27,0.02321
2013-02-28,-0.00869
2013-03-01,0.00756
2013-03-04,0.00038
2013-03-05,0.00038
2013-03-06,0.0116
2013-03-07,0.01109
2013-03-08,0.01134
2013-03-11,0.0058
2013-03-12,-0.01493
2013-03-13,-0.01442
2013-03-14,-0.00973
2013-03-15,-0.00528
2013-03-18,0.00227
2013-03-19,-0.00416
2013-03-20,-0.00114
2013-03-21,-0.0099
2013-03-22,0.01482
2013-03-25,-0.01367
2013-03-26,0.01443
2013-03-27,-0.00189
2013-03-28,0.00752
2013-04-01,-0.01321
2013-04-02,-0.01031
2013-04-03,-0.00616
2013-04-04,0
2013-04-05,-0.01087
2013-04-08,0.02124
2013-04-09,-0.0069
2013-04-10,0.02358
2013-04-11,-0.01362
2013-04-12,0.01475
2013-04-15,-0.0274
2013-04-16,0.03339
2013-04-17,-0.03609
2013-04-18,-0.00543
2013-04-19,0.00582
2013-04-22,0.01153
2013-04-23,0.008
2013-04-24,0.00567
2013-04-25,0.01571
2013-04-26,-0.02595
2013-04-29,0.00418
