"Index","FLEX.Close"
2012-06-07,6.72
2012-06-08,6.7
2012-06-11,6.44
2012-06-12,6.55
2012-06-13,6.43
2012-06-14,6.3
2012-06-15,6.4
2012-06-18,6.42
2012-06-19,6.54
2012-06-20,6.65
2012-06-21,6.29
2012-06-22,6.37
2012-06-25,6.24
2012-06-26,6.24
2012-06-27,6.25
2012-06-28,6.11
2012-06-29,6.2
2012-07-02,6.2
2012-07-03,6.5
2012-07-05,6.59
2012-07-06,6.36
2012-07-09,6.22
2012-07-10,6.21
2012-07-11,6.12
2012-07-12,6.02
2012-07-13,6.08
2012-07-16,5.96
2012-07-17,6.04
2012-07-18,6.25
2012-07-19,6.3
2012-07-20,6.2
2012-07-23,6.12
2012-07-24,6.06
2012-07-25,6.25
2012-07-26,6.35
2012-07-27,6.49
2012-07-30,6.42
2012-07-31,6.41
2012-08-01,6.31
2012-08-02,6.05
2012-08-03,6.36
2012-08-06,6.34
2012-08-07,6.74
2012-08-08,6.65
2012-08-09,6.64
2012-08-10,6.65
2012-08-13,6.6
2012-08-14,6.58
2012-08-15,6.57
2012-08-16,6.63
2012-08-17,6.81
2012-08-20,6.77
2012-08-21,6.81
2012-08-22,6.71
2012-08-23,6.68
2012-08-24,6.67
2012-08-27,6.63
2012-08-28,6.64
2012-08-29,6.75
2012-08-30,6.6
2012-08-31,6.73
2012-09-04,6.65
2012-09-05,6.63
2012-09-06,6.8
2012-09-07,6.73
2012-09-10,6.55
2012-09-11,6.5
2012-09-12,6.45
2012-09-13,6.45
2012-09-14,6.61
2012-09-17,6.5
2012-09-18,6.34
2012-09-19,6.24
2012-09-20,6.17
2012-09-21,6.22
2012-09-24,6.14
2012-09-25,6.18
2012-09-26,6.06
2012-09-27,6.12
2012-09-28,6
2012-10-01,6
2012-10-02,6.08
2012-10-03,6.03
2012-10-04,6.02
2012-10-05,6.11
2012-10-08,6.07
2012-10-09,5.96
2012-10-10,5.9
2012-10-11,6.02
2012-10-12,5.94
2012-10-15,6.01
2012-10-16,6.12
2012-10-17,6.28
2012-10-18,6.12
2012-10-19,5.96
2012-10-22,5.95
2012-10-23,5.89
2012-10-24,5.86
2012-10-25,5.8
2012-10-26,5.66
2012-10-31,5.77
2012-11-01,5.91
2012-11-02,5.74
2012-11-05,5.94
2012-11-06,6.09
2012-11-07,5.97
2012-11-08,5.96
2012-11-09,5.99
2012-11-12,5.92
2012-11-13,5.79
2012-11-14,5.6
2012-11-15,5.55
2012-11-16,5.54
2012-11-19,5.8
2012-11-20,5.73
2012-11-21,5.71
2012-11-23,5.83
2012-11-26,5.78
2012-11-27,5.66
2012-11-28,5.76
2012-11-29,5.82
2012-11-30,5.8
2012-12-03,5.77
2012-12-04,5.8
2012-12-05,5.91
2012-12-06,5.96
