"Index","AMOT.Close"
2011-07-29,5.25
2011-08-01,5.36
2011-08-02,5.58
2011-08-03,5.3
2011-08-04,5.68
2011-08-05,5.36
2011-08-08,5.39
2011-08-09,5.25
2011-08-10,5.16
2011-08-11,5.21
2011-08-12,5.28
2011-08-15,5.4
2011-08-16,5.41
2011-08-17,5.34
2011-08-18,5.42
2011-08-19,5.24
2011-08-22,5.07
2011-08-23,5.3
2011-08-24,5.3
2011-08-25,5.25
2011-08-26,5.16
2011-08-29,5.24
2011-08-30,5.36
2011-08-31,5.39
2011-09-01,5.25
2011-09-02,5.28
2011-09-06,5.4
2011-09-07,5.29
2011-09-08,5.24
2011-09-09,5.3
2011-09-12,5.25
2011-09-13,5.18
2011-09-14,5.22
2011-09-15,5.29
2011-09-16,5.25
2011-09-19,5.27
2011-09-20,5.16
2011-09-21,5.1
2011-09-22,4.97
2011-09-23,5.03
2011-09-26,5.1
2011-09-27,5.1
2011-09-28,5.01
2011-09-29,4.95
2011-09-30,4.96
2011-10-03,4.86
2011-10-04,4.65
2011-10-05,4.78
2011-10-06,4.89
2011-10-07,4.9
2011-10-10,4.91
2011-10-11,4.88
2011-10-12,4.85
2011-10-13,4.99
2011-10-14,4.99
2011-10-17,5.03
2011-10-18,5.02
2011-10-19,5.05
2011-10-20,5
2011-10-21,4.92
2011-10-24,5.1
2011-10-25,5.1
2011-10-26,5.22
2011-10-27,5.22
2011-10-28,5.25
2011-10-31,5.2
2011-11-01,5
2011-11-02,5.07
2011-11-03,5.74
2011-11-04,5.75
2011-11-07,5.8
2011-11-08,5.92
2011-11-09,5.84
2011-11-10,5.79
2011-11-11,5.74
2011-11-14,5.69
2011-11-15,5.82
2011-11-16,5.95
2011-11-17,5.8
2011-11-18,5.75
2011-11-21,5.77
2011-11-22,5.72
2011-11-23,5.64
2011-11-25,5.66
2011-11-28,5.87
2011-11-29,5.95
2011-11-30,6.35
2011-12-01,6.1
2011-12-02,6.02
2011-12-05,6
2011-12-06,6.18
2011-12-07,6
2011-12-08,5.92
2011-12-09,5.8
2011-12-12,5.76
2011-12-13,5.7
2011-12-14,5.6
2011-12-15,5.58
2011-12-16,5.55
2011-12-19,5.16
2011-12-20,5.31
2011-12-21,5.25
2011-12-22,5.28
2011-12-23,5.34
2011-12-27,5.3
2011-12-28,5.25
2011-12-29,5.43
2011-12-30,5.64
2012-01-03,5.56
2012-01-04,5.68
2012-01-05,5.57
2012-01-06,5.57
2012-01-09,5.55
2012-01-10,5.62
2012-01-11,5.8
2012-01-12,5.8
2012-01-13,5.66
2012-01-17,5.65
2012-01-18,5.8
2012-01-19,5.71
2012-01-20,5.62
2012-01-23,5.54
2012-01-24,5.56
2012-01-25,5.9
2012-01-26,5.93
2012-01-27,6
2012-01-30,5.96
2012-01-31,6.1
2012-02-01,5.98
2012-02-02,5.95
2012-02-03,5.98
2012-02-06,6.09
2012-02-07,6.1
2012-02-08,6.15
2012-02-09,6.03
2012-02-10,6.05
2012-02-13,6.15
2012-02-14,6.14
2012-02-15,6.12
2012-02-16,6.16
2012-02-17,7
2012-02-21,7.31
